store,name,price,old_price,promotion
Pick n Pay,Knorr Brown Onion Thickening Soup 50g,7.99,,4 For R22.00 (Smart Price)
Pick n Pay,Kellogg's Noodles Chicken 5 x 70g,36.99,,2 For R55.00 (Smart Price)
Pick n Pay,Ouma Buttermilk Rusks Sliced 450g,59.99,,R45.99 (Smart Price)
Pick n Pay,Bokomo Weet-Bix Family Pack 900g,64.99,,Combo For R99.00 (Smart Price)
Pick n Pay,Nescafe Ricoffy Pouch 800g,159.99,,R119.99 (Smart Price)
Pick n Pay,Clover Ultra Uht Long Life Full Cream Milk 6 x 1L,116.99,,
Pick n Pay,Sunlight Original Dishwashing Liquid 750ml,37.99,,R31.99 (Smart Price)
Pick n Pay,Domestos Whitening Multipurpose Stain Removal Thick Bleach Cleaner 750ml,35.99,,2 For R55.00 (Smart Price)
Pick n Pay,Kellogg's Corn Flakes 750g,74.99,,R58.99 (Smart Price)
Pick n Pay,McCain Skinny Cut Potato Fries 1kg,62.99,,
Pick n Pay,Domestos Summer Multipurpose Stain Removal Thick Bleach Cleaner 750ml,35.99,,2 For R55.00 (Smart Price)
Pick n Pay,Fair Cape Eco Uht Full Cream Milk 6 x 1L,99.99,,
Pick n Pay,Yum Yum Peanut Butter Smooth 400g,44.99,,
Pick n Pay,Five Roses Tagless Tea Bags 100 Pack,69.99,,
Pick n Pay,Simba Chipniks Original 100g,21.99,,
Pick n Pay,Baby Soft White 2 Ply Toilet Paper 18 Pack,169.99,,2 For R260.00 (Smart Price)
Pick n Pay,Selati Golden Brown Sugar 2kg,64.99,,
Pick n Pay,Handy Andy Lemon Multipurpose Cleaning Cream 750ml,33.99,,R24.99 (Smart Price)
Pick n Pay,Nestle Hot Chocolate 500g,89.99,109.99,
Pick n Pay,Simba Wellingtons Tomato Sauce Potato Chips 120g,20.99,,3 For R46.00 (Smart Price)
Pick n Pay,Doritos Sour Cream & Mild Chilli 145g,23.99,,Combo For R279.99 (Smart Price)
Pick n Pay,Sea Harvest Fish Fingers 600g,89.99,,R64.99 (Smart Price)
Pick n Pay,PnP Bulk Bomb Squad Beef & Pork Oukraal Wors,99.99,,
Pick n Pay,Clover Full Cream Milk Fresh 2L,34.99,35.99,
Pick n Pay,PnP Live Well Low Fat Long Life Milk 6 x 1L,89.99,98.99,
Pick n Pay,Jacobs Kronung Instant Coffee 230g,139.99,209.99,
Pick n Pay,PnP English Tomatoes 1kg,25.0,29.99,
Pick n Pay,No Name Corn Flakes 1kg,49.99,,
Pick n Pay,Henties Juice Drink 10% Apple 250ml,5.0,6.99,
Pick n Pay,PnP Potato Gnocchi 500g,49.99,,
Pick n Pay,Blue Ribbon White Toaster Bread 700g,18.99,,R15.99 (Smart Price)
Pick n Pay,Nescafe Classic Coffee 200g,144.99,,R109.99 (Smart Price)
Pick n Pay,Cadbury Milk Chocolate Slab 80g,23.99,,
Pick n Pay,Jacobs Gold Instant Coffee 200g,139.99,209.99,
Pick n Pay,Simba Ghost Pops 100g,15.99,,
Pick n Pay,PnP Soft Citrus 1kg,22.99,,
Pick n Pay,Cadbury Slab Biscuit 80g,23.99,,
Pick n Pay,PnP Ripen At Home Avocado Bag 1kg,32.99,,
Pick n Pay,Nestle Tex Mini Bag 182g,62.99,,
Pick n Pay,Lay's Caribbean Onion & Balsamic Vinegar Flavoured Potato Chips 120g,23.99,,
Pick n Pay,Nestle Aero Peppermint 40g,15.99,,
Pick n Pay,Knorr Tasty Beef 2in1 Stew Mix with Robertsons Barbecue Spice 50g,8.99,,4 For R22.00 (Smart Price)
Pick n Pay,PnP White Mushrooms 250g,32.99,,
Pick n Pay,Willards Flings Original Maize Snack 150g,24.99,,2 For R36.00 (Smart Price)
Pick n Pay,Simba Barbeque Fritos 120g,18.99,,
Pick n Pay,Flora Regular 50% Fat Spread 1kg,72.99,,2 For R100.00
Pick n Pay,PnP Beef Burgers 400g,54.99,,Combo For R119.99 (Smart Price)
Pick n Pay,PnP Medium Fat Maas 2kg,36.99,,
Pick n Pay,Humpty Dumpty Large Eggs 30 Pack,74.99,99.99,
Pick n Pay,PnP Avocado,12.99,,
Pick n Pay,Schweppes Granadilla 2L,17.99,,2 For R28.00
Pick n Pay,PnP Live Well Extra Virgin Olive Oil 1L,179.99,259.99,
Pick n Pay,Sunlight Paradise Sensations 5in1 Automatic Washing Powder 2kg,79.99,,
Pick n Pay,Cadbury Slab Fruit & Nut 150g,49.99,,
Pick n Pay,No Name Marie Biscuits 150g,12.99,,
Pick n Pay,Sunlight Tropical Sensations 5in1 Hand Washing Powder 2kg,67.99,,R59.99 (Smart Price)
Pick n Pay,PnP Pie Pepper Steak,27.99,31.49,
Pick n Pay,Joko Regular Tagless Tea Bags 100 Pack,54.99,66.99,
Pick n Pay,Cadbury Astros 40g,15.99,,2 For R24.00 (Smart Price)
Pick n Pay,PnP Pork Braai Chops,89.99,,
Pick n Pay,Bakers Zoo Zoos Cream Biscuit 125g,17.99,,2 For R26.00 (Smart Price)
Pick n Pay,Nestle KitKat Milk Mini Bag 180g,62.99,,
Pick n Pay,Jik Lemon Fresh Bleach 1.5L,44.99,,R36.99 (Smart Price)
Pick n Pay,Knorr Minestrone Thickening Soup 50g,7.99,,4 For R22.00 (Smart Price)
Pick n Pay,Henties Juice Drink 6% Mango 250ml,5.0,6.99,
Pick n Pay,Liqui-Fruit Cranberry Cooler Juice 1L,36.99,,Combo For R65.00
Pick n Pay,Flora Light 40% Fat Spread 1kg,72.99,,2 For R100.00
Pick n Pay,Nestle Milo Malt Powder Drink 500g,74.99,97.99,
Pick n Pay,Sprite Low Kilojoule Lemon Lime 2L,19.99,,
Pick n Pay,Knorr Tasty Chicken 2in1 Stew Mix with Robertsons Chicken Spice 50g,8.99,,4 For R22.00 (Smart Price)
Pick n Pay,Rhodes Tomato & Onion Mix 410g,14.99,18.99,
Pick n Pay,Maggi 2 Minute Noodles Beef Multipack 5 x 68g,39.99,,
Pick n Pay,No Name Frozen Chicken Wings 1.5kg,104.99,,
Pick n Pay,Clover Condensed Milk 385g,32.99,42.99,3 For R90.00
Pick n Pay,Bakers Tennis Doubles Biscuit 125g,17.99,,2 For R26.00 (Smart Price)
Pick n Pay,Mrs H.S.Ball's Original Chutney 470g,34.99,45.99,
Pick n Pay,Bakers Choc O Break Biscuit 125g,17.99,,2 For R26.00 (Smart Price)
Pick n Pay,Simba NikNaks Beef Bbq Flavoured Maize Snack 135g,15.99,,
Pick n Pay,Simba Popcorn White Cheddar 90g,14.99,,
Pick n Pay,Bakers Salticrax Crackers 200g,39.99,,Combo For R55.00 (Smart Price)
Pick n Pay,Robertsons Chicken Spice Refill 84g,21.99,,2 For R25.00 (Smart Price)
Pick n Pay,Dettol Soap Original 175g,18.99,,2 For R28.00
Pick n Pay,Clover Low Fat Smooth Mix Fruit Dairy Snack 6 x 100g,25.99,,
Pick n Pay,Nestle KitKat 4 Finger Dark Chocolate Bar 41.5g,15.99,,
Pick n Pay,Clover Krush Fruit Juice 100% Cranberry 1.5L,49.99,,R39.99 (Smart Price)
Pick n Pay,Country Fresh Vanilla Ice Cream With Chocolate Syrup 1.8L,82.99,,R54.99 (Smart Price)
Pick n Pay,PnP Live Well Skinless Chicken Breast 4 Pack,50.99399999999999,,
Pick n Pay,Willards Cheese Curls 150g,24.99,,2 For R36.00 (Smart Price)
Pick n Pay,Olive Pride Extra Virgin Olive & Seed Oil 1L,69.99,89.99,
Pick n Pay,Simba Potato Chips Creamy Cheddar 120g,20.99,,3 For R46.00 (Smart Price)
Pick n Pay,Danone Nutriday Double Cream Plain 900g,43.99,,
Pick n Pay,Comfort Uplifting Concentrated Laundry Fabric Softener Refill 800ml,52.99,,2 For R80.00 (Smart Price)
Pick n Pay,Cadbury Crunchie Chocolate Bar Large,15.99,,2 For R24.00 (Smart Price)
Pick n Pay,ButtaNutt Original Almond Milk 1L,32.99,,6 For R164.00
Pick n Pay,No Name Black Tea 100 Pack,22.99,,
Pick n Pay,Cadbury Mint Crisp Chocolate Slab 80g,23.99,,
Pick n Pay,Robertsons Steak & Chops Spice Refill 80g,21.99,,2 For R25.00 (Smart Price)
Pick n Pay,Lay's Argentinian Creamy Pepper Steak Potato Chips 120g,23.99,,
Pick n Pay,Dettol Even Skin Tone Bath Soap 175g,18.99,,2 For R28.00
Pick n Pay,Kellogg's Beef Flavour Instant Noodles 5 Pack,36.99,,2 For R55.00 (Smart Price)
