store,name,price,old_price,promotion
Makro,"M Full Cream Milk - UHT Process Long Life, Plain Flavour (6 x 1 L)",92.95,,
Makro,Nando'S Perinaise Original Creamy Dressing Sauce (265 g),45.95,,
Makro,Tabasco Pepper Sauce Sauce (60 ml),61.95,,
Makro,"M Full Cream Milk - UHT Process Long Life, Plain Flavour (1 L)",19.95,,
Makro,"Nettari Passionfruit Concentrate Puree (1 L, Pack of 1)",195.0,,
Makro,Iwisa No.1 Super Maize Meal Maize/Corn (12.5 kg),132.95,,
Makro,Wild Island Smoothie (1 L),21.95,,
Makro,All Gold Tomato Sauce (700 ml),38.75,,
Makro,Tabasco Chipotle Pepper Sauce Sauce (150 ml),147.0,,
Makro,"Natural Stuff Flax Seeds - Wholesome, Fresh & Nutrient-Rich Superfood (1 x 1000 g)",115.0,,
Makro,Nerds Sweet Assorted Sweets (Pack of 1 x 141 g),43.75,,
Makro,aQuelle Natural Spring Sparkling Mineral Water (6 x 1.5 l),56.95,,
Makro,Yum Yum Smooth Peanut Butter 1 kg (),93.95,,
Makro,"Rhodes Baked in Tomato Sauce Beans (410 g, Pack of 6)",61.95,,
Makro,Rhodes Baked in Tomato Sauce Beans (410 g),13.23,,
Makro,Nestle Cremora Coffee and Tea Creamer Milk Substitutes Powder (750 g),67.95,,
Makro,Nestle Nespray Forti Grow Milk Substitutes Powder (250 g),39.95,,
Makro,Nando'S Perinaise Original Creamy Dressing Sauce (6 x 265 g),239.95,,
Makro,Brookes Oros Original Orange Squash (2 L),36.95,,
Makro,Thirsti Still Natural Spring Mineral Water (4 x 5 l),79.95,,
Makro,"Clover Full Cream Long Life Milk, Plain Flavour (6 x 1 L)",109.95,,
Makro,Six Gun Grill Gun Powder (1 x 200 g),24.79,,
Makro,Pepsi Original Soft Drink (12 x 330 ml),67.95,,
Makro,Fatti'S & Moni'S Bravo Mama Regular Pasta (500 g),17.95,,
Makro,Selati Golden Brown Sugar (500 g),13.75,,
Makro,"Rhodes Baked in Tomato Sauce Beans (410 g, Pack of 12)",138.95,,
Makro,Knorr Tasty Minestrone (50 g),7.84,,
Makro,Crosse & Blackwell Tangy Mayonnaise Sauce & Dip (750 g),48.95,,
Makro,Golden Cloud Wheat Cake Flour (10 kg),129.95,,
Makro,Liqui Fruit Berry Blaze 100% Juice Blend (6 x 300 ml),82.95,,
Makro,M Natural Spring Still Mineral Water (6 x 330 ml),25.95,,
Makro,Jungle Oats The Original Favourite Box (1 kg),42.95,,
Makro,Simba Fritos Chips (4 x 25 g),13.25,,
Makro,aQuelle Still Water (12 x 500 ml),69.95,,
Makro,Knorr Tasty Hearty Beef (50 g),7.84,,
Makro,Robertsons Bicarbonate of Soda Meringue Powders (500 g),33.95,,
Makro,Simba Niknaks Maize Snack (50 x 20 g),49.95,,
Makro,Hall's Lozenges Bag Fruit Mouth Freshener (Pack of 1 x 200 g),21.95,,
Makro,Nola Original Mayonnaise Sauce (1.5 kg),89.95,,
Makro,Ace Super Meal Maize/Corn (5 kg),68.95,,
Makro,"M Full Cream Milk - UHT Process Long Life, Plain Flavour (6 x 1 L)",92.95,,
Makro,Nando'S Perinaise Original Creamy Dressing Sauce (265 g),45.95,,
Makro,Tabasco Pepper Sauce Sauce (60 ml),61.95,,
Makro,"M Full Cream Milk - UHT Process Long Life, Plain Flavour (1 L)",19.95,,
Makro,"Nettari Passionfruit Concentrate Puree (1 L, Pack of 1)",195.0,,
Makro,Iwisa No.1 Super Maize Meal Maize/Corn (12.5 kg),132.95,,
Makro,Wild Island Smoothie (1 L),21.95,,
Makro,All Gold Tomato Sauce (700 ml),38.75,,
Makro,Tabasco Chipotle Pepper Sauce Sauce (150 ml),147.0,,
Makro,"Natural Stuff Flax Seeds - Wholesome, Fresh & Nutrient-Rich Superfood (1 x 1000 g)",115.0,,
Makro,Nerds Sweet Assorted Sweets (Pack of 1 x 141 g),43.75,,
Makro,aQuelle Natural Spring Sparkling Mineral Water (6 x 1.5 l),56.95,,
Makro,Yum Yum Smooth Peanut Butter 1 kg (),93.95,,
Makro,"Rhodes Baked in Tomato Sauce Beans (410 g, Pack of 6)",61.95,,
Makro,Rhodes Baked in Tomato Sauce Beans (410 g),13.23,,
Makro,Nestle Cremora Coffee and Tea Creamer Milk Substitutes Powder (750 g),67.95,,
Makro,Nestle Nespray Forti Grow Milk Substitutes Powder (250 g),39.95,,
Makro,Nando'S Perinaise Original Creamy Dressing Sauce (6 x 265 g),239.95,,
Makro,Brookes Oros Original Orange Squash (2 L),36.95,,
Makro,Thirsti Still Natural Spring Mineral Water (4 x 5 l),79.95,,
Makro,"Clover Full Cream Long Life Milk, Plain Flavour (6 x 1 L)",109.95,,
Makro,Six Gun Grill Gun Powder (1 x 200 g),24.79,,
Makro,Pepsi Original Soft Drink (12 x 330 ml),67.95,,
Makro,Fatti'S & Moni'S Bravo Mama Regular Pasta (500 g),17.95,,
Makro,Selati Golden Brown Sugar (500 g),13.75,,
Makro,"Rhodes Baked in Tomato Sauce Beans (410 g, Pack of 12)",138.95,,
Makro,Knorr Tasty Minestrone (50 g),7.84,,
Makro,Crosse & Blackwell Tangy Mayonnaise Sauce & Dip (750 g),48.95,,
Makro,Golden Cloud Wheat Cake Flour (10 kg),129.95,,
Makro,Liqui Fruit Berry Blaze 100% Juice Blend (6 x 300 ml),82.95,,
Makro,M Natural Spring Still Mineral Water (6 x 330 ml),25.95,,
