store,name,price,old_price,promotion
Pick n Pay,Koo Baked Beans In Tomato Sauce 400g,18.99,,2 For R32.00 (Smart Price)
Pick n Pay,Tastic Rice 2kg,34.99,49.99,2 For R68.00
Pick n Pay,PnP UHT Full Cream Milk 6 x 1L,94.99,98.99,
Pick n Pay,Selati Golden Brown Sugar 2kg,44.99,64.99,
Pick n Pay,No Name Live Well Shredded Tuna in Salt Water 170g,19.99,,2 For R35.00 (Smart Price)
Pick n Pay,PnP Large Eggs 30 Pack,89.99,,
Pick n Pay,Brookes Oros 2L,45.99,,R39.99 (Smart Price)
Pick n Pay,PnP Large Eggs 18 Pack,54.99,,
Pick n Pay,No Name Straight Cut Frying Potato Chips 1kg,44.99,,
Pick n Pay,No Name Macaroni Pasta 500g,15.99,,
Pick n Pay,Crosse & Blackwell Tangy Mayonnaise 750g,47.99,,
Pick n Pay,Albany Superior White Sliced Bread 700g,18.99,,
Pick n Pay,PnP Full Cream Fresh Milk 2L,29.99,34.99,
Pick n Pay,PnP Sunflower Oil 2L,64.99,74.99,
Pick n Pay,Kellogg's Noodles Durban Curry 5 Pack,38.99,,
Pick n Pay,No Name Pasta Spaghetti 500g,15.99,,
Pick n Pay,Albany Superior Sliced Brown Bread 700g,16.99,,
Pick n Pay,PnP All Purpose Potatoes 2kg,42.99,,
Pick n Pay,No Name Frozen Chicken Braaipack 5kg,199.99,244.99,
Pick n Pay,PnP UHT Full Cream Milk 1L,16.99,,
Pick n Pay,Huletts White Sugar 2.5kg,57.99,64.99,
Pick n Pay,Coca-Cola Soft Drink 1.5L,20.99,,
Pick n Pay,White Star Super Maize Meal 5kg,64.99,99.99,
Pick n Pay,Fatti's & Moni's Macaroni 500g,19.99,,3 For R48.00
Pick n Pay,Coca-Cola Plastic 2L,26.99,,2 For R45.00 (Smart Price)
Pick n Pay,Sunlight Paradise Sensations 5in1 Automatic Washing Powder 2kg,79.99,,R64.99 (Smart Price)
Pick n Pay,Doritos Sweet Chilli Pepper 145g,23.99,,
Pick n Pay,Fatti's & Moni's Spaghetti 500g,19.99,,3 For R48.00
Pick n Pay,Simba NikNaks Cheese Flavoured Maize Snack 135g,15.99,,2 For R25.00 (Smart Price)
Pick n Pay,Kellogg's Corn Flakes 750g,74.99,,R58.99 (Smart Price)
Pick n Pay,Knorr Tasty Beef 2in1 Stew Mix with Robertsons Barbecue Spice 50g,7.99,,4 For R22.00 (Smart Price)
Pick n Pay,Kellogg's Noodles Chicken 5 x 70g,38.99,,
Pick n Pay,Blue Ribbon Classic White Sliced Bread 700g,17.99,,
Pick n Pay,Nestle Cremora Creamer 750g,59.99,69.99,
Pick n Pay,PnP Roller Towel White 2 Pack,27.99,,R21.99 (Smart Price)
Pick n Pay,"Parmalat Smooth Strawberry, Granadilla & Fruit Cocktail Yoghurt 6 x 100g",25.99,,
Pick n Pay,Wellington's New Recipe Tomato Sauce 700ml,38.99,,Combo For R70.00
Pick n Pay,Lay's Sweet & Smoky American BBQ Flavoured Potato Chips 120g,23.99,,
Pick n Pay,Knorr Brown Onion Thickening Soup 50g,7.49,,4 For R22.00 (Smart Price)
Pick n Pay,Colgate Triple Action Multibenefit Toothpaste 100ml,24.99,,
Pick n Pay,Oreo Original Biscuits 128g,19.99,,2 For R32.00 (Smart Price)
Pick n Pay,Lucky Star Pilchards in Chilli 155g,15.99,17.99,Buy 2 For R28.00 (Smart Price)
Pick n Pay,Cadbury Dairy Milk Whole Nut Chocolate Slab 80g,24.99,,
Pick n Pay,Rhodes Tomato Paste Sachet 50g,6.99,,
Pick n Pay,Jungle Oats 1kg,46.99,,R34.99 (Smart Price)
Pick n Pay,Stork Country 40% Fat Spread 1kg,59.99,,R49.99 (Smart Price)
Pick n Pay,Lay's Salted Potato Chips 120g,23.99,,
Pick n Pay,Knorr Cream of Mushroom Thickening Soup 50g,7.49,,4 For R22.00 (Smart Price)
Pick n Pay,Cadbury Dairy Milk Caramel Chocolate Slab 88g,24.99,,
Pick n Pay,Clover UHT Full Cream Long Life Milk 6 x 1L,109.99,,R99.99 (Smart Price)
Pick n Pay,Lay's Thai Sweet Chilli Flavoured Potato Chips 120g,23.99,,
Pick n Pay,First Choice Salted Butter 500g,89.99,,
Pick n Pay,Sunlight Original Dishwashing Liquid 750ml,37.99,,Combo For R54.00 (Smart Price)
Pick n Pay,Bokomo Weet-Bix Family Pack 900g,64.99,,R49.99 (Smart Price)
Pick n Pay,PnP Bulk Grabouw Wors,89.99,,
Pick n Pay,Simba Potato Chips Mrs Balls Chutney 120g,20.99,,3 For R49.00 (Smart Price)
Pick n Pay,Kellogg's Beef Flavour Instant Noodles 5 Pack,38.99,,
Pick n Pay,Cadbury Dairy Milk Top Deck Chocolate Slab 80g,24.99,,
Pick n Pay,PnP Pork Pack,69.99,,
Pick n Pay,Bakers Tennis Biscuits 200g,29.99,,
Pick n Pay,Bokomo Weet-Bix 450g,36.99,,
Pick n Pay,Knorr Tasty Chicken 2in1 Stew Mix with Robertsons Chicken Spice 50g,7.99,,4 For R22.00 (Smart Price)
