store,name,price,old_price,promotion
Pick n Pay,Lay's Sweet & Smoky American BBQ Flavoured Potato Chips 120g,23.99,,
Pick n Pay,Truda Flyers Cheese & Chives 100g,12.99,,
Pick n Pay,Wellington's New Recipe Tomato Sauce 700ml,39.99,,
Pick n Pay,Freshpak Rooibos Tagless Tea Bags 80 Pack,57.99,,R46.99 (Smart Price)
Pick n Pay,Domestos Whitening Multipurpose Stain Removal Thick Bleach Cleaner 750ml,35.99,,2 For R55.00 (Smart Price)
Pick n Pay,Magnum Mini Almond Ice Cream 5 Pack,122.99,,2 For R150.00 (Smart Price)
Pick n Pay,Clover Tropika Limited Edition Assorted Low Fat Yoghurt 6 x 100g,19.99,23.99,
Pick n Pay,Bull Brand Corned Meat & Cereal Tin 300g,36.99,,R28.99 (Smart Price)
Pick n Pay,No Name Baked Beans in Tomato Sauce  400g,9.99,,
Pick n Pay,Rhodes Baked Beans in Tomato Sauce 410g,12.99,15.99,
Pick n Pay,Lay's Salted Potato Chips 120g,23.99,,
Pick n Pay,"Parmalat Smooth Strawberry, Granadilla & Fruit Cocktail Yoghurt 6 x 100g",25.99,,
Pick n Pay,Lucky Star Pilchards in Tomato Sauce 400g,29.99,,
Pick n Pay,Coca-Cola Soft Drink 1.5L,21.99,,4 For R59.99
Pick n Pay,Lay's Caribbean Onion & Balsamic Vinegar Flavoured Potato Chips 120g,23.99,,
Pick n Pay,Lay's Thai Sweet Chilli Flavoured Potato Chips 120g,23.99,,
Pick n Pay,Cadbury Dairy Milk Whole Nut Chocolate Slab 80g,24.99,,
Pick n Pay,Sparletta Creme Soda 2L,17.99,,
Pick n Pay,Lucky Star Pilchards in Hot Chilli Sauce 400g,29.99,,
Pick n Pay,Schweppes Granadilla 2L,17.99,,
Pick n Pay,Nola Tangy Mayonnaise 750g,44.99,,R39.99 (Smart Price)
Pick n Pay,Cadbury Dairy Milk Caramel Chocolate Slab 88g,24.99,,
Pick n Pay,Brookes Oros Naartjie Squash 2L,45.99,,R39.99 (Smart Price)
Pick n Pay,Huletts White Sugar 2.5kg,71.99,,
Pick n Pay,Sunlight Original Dishwashing Liquid 750ml,36.99,,R31.99 (Smart Price)
Pick n Pay,Today Puff Pastry 400g,34.49,,2 For R50.00 (Smart Price)
Pick n Pay,PnP English Tomatoes 1kg,29.99,,
Pick n Pay,Maggi 2 Minute Noodles Beef Multipack 5 x 68g,39.99,,2 For R55.00 (Smart Price)
Pick n Pay,Bakers Eet-Sum-Mor Biscuits 200g,38.99,,2 For R54.00 (Smart Price)
Pick n Pay,Sunlight Ultra Power Dishwashing Liquid 750ml,39.99,,R31.99 (Smart Price)
Pick n Pay,Twist Lemon Plastic Bottle 2L,17.99,,
Pick n Pay,Clover Condensed Milk 385g,39.99,,
Pick n Pay,Kellogg's Hot & Spicy Noodles 5 x 70g,39.99,,
Pick n Pay,Humpty Dumpty Large Eggs 30 Pack,69.99,89.99,
Pick n Pay,Protex Fresh Antigerm Bar Soap 175g,19.99,,2 For R28.00 (Smart Price)
Pick n Pay,Domestos Lemon Multipurpose Stain Removal Thick Bleach Cleaner 750ml,35.99,,2 For R55.00 (Smart Price)
Pick n Pay,Sunlight Core Laundry Bar 400g,18.99,,2 For R34.00 (Smart Price)
Pick n Pay,Anchor Yeast Instant Dry Yeast 10g,6.39,,
Pick n Pay,Black Cat Smooth Peanut Butter 400g,54.99,,
Pick n Pay,PnP 2 Ply White Toilet Paper 18 Pack,129.99,,
Pick n Pay,Robertsons Steak & Chops Spice Refill 80g,20.99,,2 For R25.00 (Smart Price)
Pick n Pay,Truda Tomato & BBQ Flavoured Pretzels 30g,5.99,,
Pick n Pay,Simba Potato Chips Mexican Chilli 120g,20.99,,3 For R49.00 (Smart Price)
Pick n Pay,Dettol Soap Fresh 175g,19.99,,2 For R28.00 (Smart Price)
Pick n Pay,Dr Oetker Ital Pizza Classic Spare Rib & Bacon Pizza 350g,67.49,,5 For R200.00 (Smart Price)
Pick n Pay,Nola Mayonnaise Sweet & Creamy 780g,44.99,,R39.99 (Smart Price)
Pick n Pay,PnP Queen Pineapple,21.99,,
Pick n Pay,Simba Fritos Tomato Strip 4 x 25g,16.99,,2 For R24.00 (Smart Price)
Pick n Pay,PnP Bulk Lamb Braai Chops,159.99,,
Pick n Pay,No Name Pasta Spaghetti 500g,15.99,,
Pick n Pay,Bernini Mimosa Can 6 x 300ml,99.99,,2 For R160.00 (Smart Price)
Pick n Pay,Nestle Bar One Mini Bag 189g,62.99,,2 For R89.00 (Smart Price)
Pick n Pay,Nescafe Original Cappuccino Sachets 10 x 18g,79.99,,Coffee Club Members: 3 For R180.00 (Smart Price)
Pick n Pay,Bokomo Weet-Bix 450g,37.99,,
Pick n Pay,Yum Yum Peanut Butter Smooth 400g,52.99,,R39.99 (Smart Price)
Pick n Pay,PnP Bulk Country Classic Boerewors,109.99,,
Pick n Pay,Cadbury Dairy Milk Milk Chocolate Slab 80g,24.99,,
Pick n Pay,Pepsi Max Plastic Bottle 2L,17.99,,
Pick n Pay,Rainbow Simply Chicken Cheese Viennas 500g,79.99,,
Pick n Pay,Cadbury Dairy Milk Top Deck Chocolate Slab 80g,24.99,,
Pick n Pay,Snowflake Cake Flour 2.5kg,41.99,,
Pick n Pay,PnP Live Well Maize Meal 10kg,94.99,119.99,Combo For R329.00
Pick n Pay,Robertsons Chicken Spice Refill 84g,20.99,,2 For R25.00 (Smart Price)
Pick n Pay,Dettol Skin Detox Hygiene Bar Soap 175g,21.99,,
Pick n Pay,No Name Macaroni Pasta 500g,15.99,,
Pick n Pay,Simba Niknaks Cheese 20g,1.49,,
Pick n Pay,PnP Pie Pepper Steak,27.99,31.49,
Pick n Pay,Simply Chicken Original Frozen Burger 400g,67.99,,2 For R110.00 (Smart Price)
Pick n Pay,Dettol Even Skin Tone Bath Soap 175g,19.99,,2 For R28.00 (Smart Price)
