store,name,price,old_price,promotion
Foodline,LOREAL 125ML EYE MAKEUP REMOVER (1X1),99.99,,
Foodline,ALL GOLD TOMATO PUREE 410G (1X1),37.99,,
Foodline,ALL GOLD PASTA SAUCE 405G TOM & HERB (1X1),52.99,,
Foodline,ALL GOLD PASTA SAUCE 405G TOM & HERB (1X12),636.0,,
Foodline,ALL GOLD PASTA SAUCE 405G TOM & GARLIC (1X12),636.0,,
Foodline,ALL GOLD PASTA SAUCE 405G SUND/TOM/OLIV (1X12),636.0,,
Foodline,ALL GOLD PASTA SAUCE 405G SUND/TOM/OLIV (1X1),52.99,,
Foodline,ALL GOLD JAM 450G STRAWBERRY (1X1),47.99,,
Foodline,VITASNACK RICE BBQ 100G (1X12),540.0,,
