store,name,price,old_price,promotion
Makro,"Knorr Hearty Beef Soup (Pack of 10, 50 g)",56.95,,
Makro,Selati Golden Brown Sugar (500 g),13.95,,
Makro,Hall's Lozenges Bag Menthol And Eucalyptus Mouth Freshener (Pack of 1 x 200 g),21.95,,
Makro,Knorr Tasty Chicken (50 g),7.75,,
Makro,Knorr Cream of Mushroom Soup (50 g),7.37,,
Makro,Lucky Star Pilchards in Tomato Sauce Sea Foods (400 g),26.45,,
Makro,All Gold Tomato Sauce (700 ml),38.75,,
Makro,Kellogg's Corn Flakes Box (500 g),49.45,,
Makro,Tinkies Sponge Choc o'loco Cake (45 g),49.95,,
Makro,"Knorr Tasty Hearty Beef (Pack of 10, 50 g)",55.95,,
Makro,Robertson's Braai And Grill All in One (1 x 200 g),22.45,,
Makro,Huletts Equisweet Sucralose Tubes Sweetener (1 g),197.95,,
Makro,Brookes Oros Original Orange Squash (2 L),37.95,,
Makro,Knorr Rich Oxtail Soup (50 g),7.44,,
Makro,White Star Super Maize Meal Maize/Corn (10 kg),114.95,,
Makro,Wellington'S Sweet Chilli Sauce Sauce (700 ml),49.45,,
Makro,Pepsi Original Soft Drink (12 x 330 ml),69.95,,
Makro,Excella Long Grain Rice (Parboiled) (2 kg),26.95,,
Makro,Hall's Lozenges Bag Fruit Mouth Freshener (Pack of 1 x 200 g),21.95,,
Makro,M spring Still Water (12 x 500 ml),53.95,,
Makro,"Clover Nolac Lactose Free Medium Fat, Milk Flavour (6 x 1 L)",129.95,,
Makro,Ouma Sliced Butter flavoured Buttermilk Rusk (450 g),59.95,,
Makro,Knorr Minestrone Soup (50 g),7.44,,
Makro,Knorr Brown Onion Soup (50 g),7.37,,
Makro,"Knorr Tasty Chicken (Pack of 10, 50 g)",55.95,,
Makro,Little Bee Pure Honey (375 g),69.95,,
Makro,"Almond Breeze Alternative Milk - Unsweetened Original, Almonds Flavour (6 L)",221.95,,
Makro,Simba Niknaks Maize Snack (50 x 20 g),49.95,,
Makro,Nando'S Creamy Garlic Extra Mild Peri-Peri Table Sauce Sauce (250 g),47.95,,
Makro,Mentos Chewy Dragees Berry Sweets (Pack of 1 x 250 g),22.95,,
Makro,Knorr Beef & Onion Soup (50 g),7.44,,
Makro,Knorr Cream of Tomato Soup (50 g),7.37,,
Makro,"Knorr Beef & Onion Soup (Pack of 10, 200 g)",174.95,,
Makro,Knorr Hearty Beef Soup (50 g),7.44,,
Makro,Nando'S Perinaise Original Creamy Dressing Sauce (6 x 265 g),239.95,,
Makro,M Natural Spring Still Mineral Water (6 x 330 ml),25.95,,
Makro,Samyang Buldak Hot Chicken Ramen Carbonara Flavour Instant Noodles (650 g),190.0,,
